algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR02_pos,violation_LR03_neg,violation_LR04_neg,violation_LR05_neg,soft_violation_LR01,soft_violation_LR02,soft_violation_LR03,soft_violation_LR04,soft_violation_LR05
Neural Network (MLP),0.0,validation,baseline_common_threshold,lambda_0_validation,2222,0.7718271827182718,0.7441517023936797,0.35266457680250785,0.7053291536050157,0.7829742511823437,0.4702194357366771,0.32874979208609917,0.099559121724583,1490,413,94,225,0.14111652970314026,0.8103687133168713,0.4376935167372694,0.06631502352680733,1.0121324657537363,0.04275427542754275,96,0.043204320432043204,551,740.0,0.5858616930606715,0.5638218935287777,0.5688588667417729,479,0.3685933025572266,0.17422867513611615,7,7,8,13,61,0.9081728573461685,0.06977966741618256,0.6554244164791372,0.833908080123365,0.6501152885213783
Neural Network (MLP),0.0,test,baseline_common_threshold,lambda_0_validation,2777,0.753691033489377,0.7122653142528315,0.32342007434944237,0.6541353383458647,0.7703952901597981,0.43283582089552236,0.34012986726740907,0.1014607057702032,1832,546,138,261,0.14111652970314026,0.7822436663568088,0.43106642621983826,-0.02647126405604539,0.9415117535986417,0.04141159524666907,118,0.04249189773136478,698,942.0,0.5806373760914225,0.5553250236716033,0.5570548767818818,600,0.36705333649886773,0.16905444126074498,4,12,8,6,88,0.8711442538640566,0.0776224108260186,0.636937274671916,0.8191306242211298,0.6530473022759877
Neural Network (MLP),0.1,validation,baseline_common_threshold,lambda_0_validation,2222,0.7272727272727273,0.7364053128454164,0.31241830065359477,0.7492163009404389,0.7235943247503941,0.44095940959409596,0.3306233818980102,0.10036685552430012,1377,526,80,239,0.14111652970314026,0.8084644440307912,0.4320695334293229,-0.18605379174180584,0.9533639026220798,0.022952295229522954,51,0.022952295229522954,551,740.0,0.5261057971766939,0.5088864629530431,0.5126481861963413,479,0.29180879973010165,0.0925589836660617,7,27,3,11,3,0.8617738580020765,0.10863896090186377,0.5687980247132571,0.7867723599141626,0.5763060784318881
Neural Network (MLP),0.1,test,baseline_common_threshold,lambda_0_validation,2777,0.719841555635578,0.7133582484385902,0.29861849096705634,0.7042606516290727,0.7224558452481077,0.41940298507462687,0.3426341425669706,0.10263802446632615,1718,660,118,281,0.14111652970314026,0.7819085139256888,0.43282106314647856,-0.27157590623200806,0.8783973418399449,0.017284839755131436,48,0.017284839755131436,698,942.0,0.5182172655162876,0.4972080521974019,0.4990111876155826,600,0.28948318272114,0.06876790830945559,4,32,1,6,5,0.7870018312500583,0.10994145552541223,0.5407249387091314,0.7550903507931666,0.5783173921416244
Neural Network (MLP),0.25,validation,baseline_common_threshold,lambda_0_validation,2222,0.716921692169217,0.7355808433145488,0.30527638190954776,0.7617554858934169,0.7094062007356805,0.4358744394618834,0.3415079934674634,0.10486497242621401,1350,553,76,243,0.14111652970314026,0.8017599665270313,0.40616365450664094,-0.4799909995044462,0.8455393018499768,0.01935193519351935,43,0.01935193519351935,551,740.0,0.45258588604209526,0.4402410369276261,0.4431116858979265,479,0.22572227166901507,0.0780399274047187,3,33,1,6,0,0.7935237516649067,0.14150763485931614,0.4596688460420679,0.7211743469693159,0.48857536679380154
Neural Network (MLP),0.25,test,baseline_common_threshold,lambda_0_validation,2777,0.7111991357580122,0.7103977352970314,0.29205366357069146,0.7092731829573935,0.7115222876366695,0.4137426900584795,0.35308347281991787,0.10738832512963127,1692,686,116,283,0.14111652970314026,0.7795993347540424,0.4234395127610672,-0.5440991081402237,0.7805784757460384,0.016564638098667626,46,0.016564638098667626,698,942.0,0.4428511728286765,0.4266519943837506,0.42836011987688055,600,0.22234038528497416,0.0659025787965616,3,39,0,3,1,0.7115663569420576,0.1384247081059087,0.42883727521124015,0.6793643236160277,0.48919144559325906
Neural Network (MLP),0.5,validation,baseline_common_threshold,lambda_0_validation,2222,0.7146714671467147,0.7368764382916266,0.30434782608695654,0.768025078369906,0.7057277982133473,0.4359430604982206,0.3611623241126716,0.11341503682196212,1343,560,74,245,0.14111652970314026,0.7946551971231698,0.4022872947527169,-0.7479595712558401,0.7231571770455814,0.016201620162016202,36,0.016201620162016202,551,740.0,0.36896380857765876,0.3614546935402501,0.3586668804289577,479,0.16575390039017038,0.06533575317604355,1,35,0,0,0,0.6645064971720179,0.17157976935023742,0.3767373224283442,0.5248929241247344,0.3908554614115854
Neural Network (MLP),0.5,test,baseline_common_threshold,lambda_0_validation,2777,0.7061577241627656,0.7095398293884416,0.2887537993920973,0.7142857142857143,0.704793944491169,0.41125541125541126,0.37119991794521573,0.1154894276547037,1676,702,114,285,0.14111652970314026,0.7748956073952753,0.4196062672395479,-0.7793351276453514,0.6753678443608735,0.014764133957508103,41,0.014764133957508103,698,942.0,0.36139029757200786,0.35043193511985093,0.34784128492940514,600,0.16509753709713773,0.05873925501432665,0,40,0,1,0,0.6083603989746836,0.15611032068810832,0.34476466875680734,0.5246580468885825,0.3927383999966207
Neural Network (MLP),0.75,validation,baseline_common_threshold,lambda_0_validation,2222,0.7137713771377138,0.7285230217261311,0.30062893081761005,0.7492163009404389,0.7078297425118234,0.42908438061041293,0.3793648743021253,0.12117817835849166,1347,556,80,239,0.14111652970314026,0.7907099333341021,0.39065889995822184,-0.8881825047722589,0.6398827473270404,0.01485148514851485,33,0.01485148514851485,551,740.0,0.3121100788084404,0.30868284605810825,0.30249356266591837,479,0.13361907249697166,0.05989110707803993,0,33,0,0,0,0.6314090819408495,0.18221678852400594,0.3238299927777714,0.47514689935926807,0.32210164095358873
Neural Network (MLP),0.75,test,baseline_common_threshold,lambda_0_validation,2777,0.712279438242708,0.7131142616844888,0.29381443298969073,0.7142857142857143,0.7119428090832632,0.4163623082542001,0.3900765212644721,0.12380188555511218,1693,685,114,285,0.14111652970314026,0.7728151328700219,0.40438451406509307,-0.9113889069462674,0.5987887942283263,0.012963629816348578,36,0.012963629816348578,698,942.0,0.3046034401778978,0.2976738847663169,0.29091424372604496,600,0.13228869418187678,0.05157593123209169,0,36,0,0,0,0.5795059146152602,0.16147831911628285,0.29648932933527533,0.47528187298413477,0.32442651262578087
